fid,receiver_name,installation_type,receiver_status,active,deployment_date,recovery_date,longitude,latitude,park_name,park_type,authority,gaz_date,epbc
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 21,VR2W-114649,CURTAIN,NA,Inactive,2012-10-17T23:20:00Z,NA,148.66,-40.48,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 16,VR2W-114660,CURTAIN,RECOVERED,Inactive,2013-10-21T22:54:00Z,2015-04-15T01:29:00Z,148.61,-40.47,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 27,VR2W-114661,CURTAIN,LOST,Inactive,2012-10-18T00:04:00Z,2015-04-17T01:16:00Z,148.71,-40.49,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 18,VR2W-114663,CURTAIN,RECOVERED,Inactive,2013-10-21T23:10:00Z,2015-04-15T03:09:00Z,148.63,-40.47,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 34,VR2W-114664,CURTAIN,RECOVERED,Inactive,2013-10-22T00:49:00Z,2015-04-17T02:11:00Z,148.77,-40.51,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 17,VR2W-114666,CURTAIN,RECOVERED,Inactive,2013-10-19T22:32:00Z,2015-04-15T02:51:00Z,148.62,-40.47,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 39,VR2W-114670,CURTAIN,LOST,Inactive,2012-10-18T04:49:00Z,2015-04-17T03:00:00Z,148.82,-40.52,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 28,VR2W-114673,CURTAIN,LOST,Inactive,2012-10-18T00:13:00Z,2015-04-17T01:24:00Z,148.72,-40.49,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 19,VR2W-114678,CURTAIN,RECOVERED,Inactive,2013-10-21T23:19:00Z,2015-04-15T03:29:00Z,148.64,-40.47,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 33,VR2W-114696,CURTAIN,LOST,Inactive,2012-10-18T00:51:00Z,2015-04-17T01:56:00Z,148.76,-40.51,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 35,VR2W-114698,CURTAIN,LOST,Inactive,2012-10-18T01:05:00Z,2015-04-17T02:30:00Z,148.78,-40.51,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 22,VR2W-114703,CURTAIN,NA,Inactive,2012-10-17T23:27:00Z,NA,148.67,-40.48,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 32,VR2W-114706,CURTAIN,NA,Inactive,2012-10-18T00:43:00Z,NA,148.76,-40.5,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 30,VR2W-114712,CURTAIN,LOST,Inactive,2012-10-18T00:28:00Z,2015-04-17T01:37:00Z,148.74,-40.5,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 29,VR2W-114713,CURTAIN,NA,Inactive,2012-10-18T00:21:00Z,NA,148.73,-40.5,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 38,VR2W-114715,CURTAIN,NA,Inactive,2012-10-18T01:32:00Z,NA,148.81,-40.52,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 15,VR2W-120741,CURTAIN,RECOVERED,Inactive,2013-10-19T22:22:00Z,2015-04-20T03:43:00Z,148.6,-40.47,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
